"Outlet_name", "Address_Line", "M_M", "latitude", "longitude"
"Suburbia The Empire","Second Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Subway","Shop No-4 Third Floor Food Court","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Suffiana","First Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"T.G.I. Friday's","Ground Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Taanz","SF","Mgf Metropolitan Mall","28.4801902","77.0796864"
"The Body Shop","Shop No.12 Gf","Mgf Metropolitan Mall","28.4702604","77.083399"
"The Chowk","Third Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"The Home Makers","SF","Mgf Metropolitan Mall","28.4801902","77.0796864"
"The Home Store","44-49 2nd Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"The Mobilestore","Shop No.41 1st Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"The Silver Spoon Restaurant","44 To 49 Second Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"The Wishing Tree","Shop No. 12  2nd Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Tibbs Frankie","Third Floor Near Food Court","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Tippy","Shop No.33 34 Gf","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Titan Eye +","Shop No.32 FF","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Tng Station","Shop No.35 SF","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Tommy Kids","Shop No. 75& 76","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Trendy Baubles","Third Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Twist Potato","Third Floor Near Food Court","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Van Heusen","27 1st Floor","Mgf Metropolitan Mall","28.4702604","77.083399"
"Vibe","Shop No.62","Mgf Metropolitan Mall","28.4702604","77.083399"
"Vicinza","Shop No. 10 FF","Mgf Metropolitan Mall","28.4801902","77.0796864"
"VIP Lounge","FF -14","Mgf Metropolitan Mall","28.4801902","77.0796864"
"VLCC","Shop No.27 SF","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Waza","Third Floor Food Court","Mgf Metropolitan Mall","28.4801902","77.0796864"
"Wildcraft","Shop No.23 23A 1st Floor","Mgf Metropolitan Mall","28.4801902","77.0796864"
